Schools Names, Schools Address,websites
American School of Bombay,"SF 2, G-Block, 
Bandra Kurla Complex Road, Bandra East, 
Mumbai, Maharashtra, 
400051, 
India
",https://www.asbindia.org/
Stonehill International School,"Near the International Airport, No.259/333/334/335, 
Tarahunise Post, Jala Hobli, 
Bengaluru, Karnataka, 
562157, 
India
",https://www.stonehill.in/
TIPS Coimbatore,"193 Sathy Road, 
S.S.Kulam P.O., 
Coimbatore, Tamil Nadu, 
641107, 
India
",https://www.edustoke.com/coimbatore/the-indian-public-school-coimbatore-residential
Aditya Birla World Academy,"Vastushilp Annexe, Gamadia Colony, 
J D Road, Tardeo, 
Mumbai, Maharashtra, 
400034, 
India
",https://www.adityabirlaworldacademy.com/
Aga Khan Academy Hyderabad,"Survey No 1/1 Hardware Park, 
Maheshwaram Mandal, Rangareddy District, 
Hyderabad, Telangana, 
501510, 
India
",https://www.agakhanacademies.org/hyderabad/contact-aga-khan-academy-hyderabad
Ahmedabad International School,"Opp Rajpath Row Houses, 
Behind Kiran Motors, Judges Bungalow Road, 
Bodakdev, Ahmedabad, 
380015, 
India
",https://www.aischool.net/
Ajmera Global School,"Yogi Nagar, Eksar Road, 
Borivali West, 
Mumbai, Maharashtra, 
400092, 
India
",http://www.ajmeraglobalschool.com/
Akal Academy Baru Sahib,"Via Rajgarh, Teh. Pachhad, 
Distt. Sirmore, 
Himachal Pradesh, 
173101, 
India
",http://akalacademybarusahib.com/
Akshar Árbol International School - ECR Campus,"Bethel Nagar, North 9th Street, 
Injambakkam, 
Chennai, Tamil Nadu, 
600115, 
India
",http://www.akshararbol.edu.in/
Al Fajr International School,"No. 7 & 8, II Main Road, 
Nehru Nagar, Perungudi, 
Chennai, 
600 096, 
India
",https://www.al-fajrinternational.com/
Al Qamar Academy,"14 Kalyani Nagar, Opp Journalist's Colony, 
Kottivakkam, 
Chennai, Tamil Nadu, 
600041, 
India
",https://www.internationalschoolsearch.com/listing/al-qamar-academy-india
All Saints' College,"Nainital, 
Uttarakhand, 
263002, 
India
",https://www.allsaintscollege.org/
Alliance World School,"C-54/A, 
Sector-56, 
Noida, Uttar Pradesh, 
201301, 
India
",http://www.allianceworldschool.in/
aLphabet School,"178 St. Mary's Road, 
Alwarpet, 
Chennai, Tamil Nadu, 
600018, 
India
",https://www.indiamart.com/alphabet-school/sitenavigation.html
American Embassy School,"Chandragupta Marg, 
Chanakyapuri, 
New Delhi, Delhi, 
110021, 
India
",https://www.aes.ac.in/
American International School - Chennai,"100 Feet Road, 
Taramani, 
Chennai, 
600113, 
India
",https://www.aischennai.org/
"Amity Global School, Gurgaon","Main Sector Road 4, Sector 46, 
Gurgaon, Harayana, 
122002, 
India
",http://www.amityglobalschool.com/
"Amity Global School, Noida","A Block, C Block, Sector 44, 
Noida, Uttar Pradesh, 
201301, 
India
",http://www.amityglobalschool.com/noida/
Amity International School Saket,"M Block, 
Saket, 
New Delhi, Delhi, 
110017, 
India
",https://www.amity.edu/ais/saket/
"Apeejay School International, South Delhi","Sheikh Sarai-Phase I, 
Panchsheel Park, 
New Delhi, Delhi, 
110017, 
India
",https://intl.apeejay.edu/
APL Global School,"Survey No 104/8C3, Foundry Road, 
Okiiam Thoraiopakkam, 
Chennai, Tamil Nadu, 
600097, 
India
",http://aplglobalschool.com/
Arya Cambridge International School,"Saibaba Vihar Complex, Near Muchala Polytechnic, 
Ghodbunder Road, 
Thane, Maharashtra, 
400601, 
India
",https://www.prokerala.com/education/arya-cambridge-international-school-s16637.html
Ascend International School,"5 'F' Block, Opp. Govt. Colony, 
Bandra Kurla Complex (Bandra E), 
Mumbai, Maharashtra, 
400051, 
India
",https://ascendinternational.org/
Bangalore International School,"Geddalahalli, 
Hennur Bagalur Road, Kothanur Post, 
Bengaluru, Karnataka, 
560077, 
India
",https://www.bangaloreinternationalschool.org/
BD Somani International School,"625 GD Somani Marg, 
Cuffe Parade, 
Mumbai, Maharashtra, 
400005, 
India
",https://www.bdsomaniinternationalschool.com/
Billabong High International (Santa Cruz),"Ajivasan, Off. Juhu Tara Road, 
Opp. Lido Cinema, Next to SNDT College, Santa Cruz West, 
Mumbai, Maharashtra, 
400049, 
India
",https://www.billabonghighschool.com/mumbai-santacruz/
Billabong High International School (Thane),"Road no. 27, Shreenagar, 
Wagle Estate, Thane West, 
Thane, Maharashtra, 
400604, 
India
",https://billabongthane.com/
Bishop Cotton School,"Shimla, Himachal Pradesh, 
171002, 
India
",https://bishopcottonshimla.com/
"BLiSS Edify International School, Pune","38 Phase 1, Rajiv Gandhi Infotech Park, 
Hinjawadi, 
Pune, Maharashtra, 
411057, 
India
",https://blissinternationalschool.org/
Bloomingdale International School,"Municipal Employee Colony, 
Main Road, 
Vijayawada, Andhra Pradesh, 
520010, 
India
",https://bloomingdale.edu.in/
Bluebells School International,"Kailash (Opp) Lady Shriram College, 
New Delhi, Delhi, 
110048, 
India
",https://www.bluebellsinternational.com/
Bodhi International School,"Shikargarh Enclave, 
Near Mini Market, 
Jodhpur, Rajasthan, 
342015, 
India
",https://www.bodhijodhpur.com/
Bombay International School,"Gilbert Building, 2nd Cross Lane, 
Babulnath, 
Mumbai, Maharashtra, 
400007, 
India
",https://bis.edu.in/
Bright Start Fellowship International School,"Fellowship Society Campus, 
Near August Kranti Maidan, Gowalia Tank,, 
400036, 
India
",https://www.brightstart.edu.in/
British Oak Tree Nursery,"Site No-4 Mayfield Garden Sector 57, 
Opp Orchid Islands, 
Gurgaon, Haryana, 
India
",https://www.justdial.com/Delhi/British-Oak-Tree-School-Opp-Orchid-Island-Gurgaon-Sector-57/011PXX11-XX11-130905181344-F6A6_BZDET
Buddhi School,"1&2 Dasarahalli Extension, HA Farm Post, 
(Next to Legacy Apartments), Opposite to Shoba Moonsto+, 
Bengaluru, Karnataka, 
560024, 
India
",https://en.wikipedia.org/wiki/Theravada
Bunts Sangha's S.M. Shetty International School & Jr. College,"Hiranandani Gardens, 
Powai, 
Mumbai, Maharashtra, 
400076, 
India
",https://www.smshettyinstitute.org/BS-IS-JC/
Calcutta International School,"724 Anandapur, 
E M Bypass, 
Kolkata, West Bengal, 
700107, 
India
",https://www.calcuttais.edu.in/
Caledonian International School,"Near Power Gym, 
Saili Road, 
Pathankot, Punjab, 
145001, 
India
",https://caledonianinternational.com/
Calorx Olive International School,"Besides Ahmedabad Dental College, 
Near Arjun Farm, Ranchodpura - Bhadaj Road, 
Ahmedabad, Gujarat, 
380058, 
India
",https://cois.edu.in/
Cambridge International School,"Choti Baradari, 
Phase II, 
Jalandhar, Punjab, 
144001, 
India
",https://ciscoedjal.school/
Cambridge International School - Dasuya,"Hazipur Road, 
Dasuya, Hoshiarpur, Punjab, 
144205, 
India
",https://www.cisdasuya.com/
Campion International School,"River Side Avenue, 
Shalbari, West Bengal, 
India
",https://school.careers360.com/schools/campion-international-school-salbari-siliguri
